Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
32225,0.244077,-1.186882,-9.15766,-1.68,1.05,-1.96,-101.020081,-144.231216,-195.216461,191,3.82,-0.0095709999999999,-0.0335,0.6293340000000001,0.2488624999999999,-1.170132,-9.472327,3
32245,0.256041,-1.107916,-9.325163,-0.49,-0.63,-1.89,-103.167076,-142.295441,-196.821533,192,3.84,0.011964,0.078966,-0.1675029999999999,0.2500589999999999,-1.147399,-9.2414115,3
32265,0.373294,-1.150989,-9.463951,0.56,-12.46,-0.91,-101.878204,-143.816956,-194.997086,193,3.86,0.117253,-0.0430730000000001,-0.1387879999999999,0.3146675,-1.1294525,-9.394557,3
32285,0.284756,-1.182097,-9.387379,4.83,-9.73,-0.91,-101.004623,-142.907822,-195.122162,194,3.88,-0.088538,-0.0311079999999999,0.0765720000000005,0.3290249999999999,-1.166543,-9.425665,3
32305,0.318257,-1.227562,-9.605133,1.12,-3.22,-1.4,-100.577705,-142.97551,-194.716446,195,3.9,0.033501,-0.045465,-0.2177540000000011,0.3015064999999999,-1.2048295,-9.496256,3
32325,0.236898,-1.284992,-9.645813,-1.89,-2.87,-1.61,-100.856071,-144.275452,-196.487076,196,3.92,-0.081359,-0.0574299999999998,-0.04068,0.2775774999999999,-1.256277,-9.625473,3
32345,0.3374,-1.342421,-9.145695,-2.73,-4.41,-1.47,-100.83976,-142.392334,-194.050583,197,3.94,0.1005019999999999,-0.0574290000000001,0.5001180000000005,0.2871489999999999,-1.3137065,-9.395754,3
32365,0.294328,-1.208419,-9.605133,4.34,-5.46,-1.19,-99.166893,-148.790314,-195.476303,198,3.96,-0.043072,0.1340020000000001,-0.4594380000000004,0.3158639999999999,-1.27542,-9.375414,3
32385,0.20579,-1.239526,-9.844424,5.25,-4.06,-1.26,-99.947342,-141.479233,-193.614319,199,3.98,-0.0885379999999999,-0.0311069999999999,-0.2392909999999997,0.2500589999999999,-1.2239725,-9.7247785,3
32405,0.751373,-0.614977,-9.691278,11.62,-9.03,-10.64,-100.208183,-144.095642,-194.496933,200,4.0,0.5455829999999999,0.6245489999999999,0.1531459999999995,0.4785814999999999,-0.9272515,-9.767851,3
32425,0.081359,-1.198847,-9.870746,10.71,-14.91,4.06,-100.324646,-143.280807,-194.491898,201,4.02,-0.670014,-0.58387,-0.1794679999999999,0.4163659999999999,-0.906912,-9.781012,3
32445,0.052644,-2.395301,-9.392164,4.55,-20.299999,2.1,-100.762733,-144.815369,-196.022659,202,4.04,-0.0287149999999999,-1.196454,0.4785820000000012,0.0670014999999999,-1.797074,-9.631455,3
32465,-0.100502,-1.447709,-9.368236,-4.83,-28.139999,-2.94,-101.975037,-146.4776,-197.150314,203,4.06,-0.153146,0.947592,0.0239279999999997,-0.023929,-1.921505,-9.3802,3
32485,-0.076573,-1.816217,-9.475916,-18.9,-40.459999,-3.01,-100.4412,-146.985962,-195.708664,204,4.08,0.0239289999999999,-0.368508,-0.1076800000000002,-0.0885375,-1.6319629999999998,-9.422076,3
32505,0.335007,-1.782717,-9.387379,-9.94,-14.98,-2.24,-99.824547,-145.212784,-193.856415,205,4.1,0.41158,0.0334999999999998,0.0885370000000005,0.1292169999999999,-1.799467,-9.4316475,3
32525,0.315864,-1.320885,-9.346699,-2.8,2.38,1.19,-104.247047,-143.16925,-196.688828,206,4.12,-0.019143,0.461832,0.04068,0.3254354999999999,-1.5518010000000002,-9.367038999999998,3
32545,-0.126824,-1.861683,-9.696064,0.56,8.96,-0.77,-103.082306,-142.277603,-194.295593,207,4.14,-0.4426879999999999,-0.5407979999999999,-0.3493650000000006,0.0945199999999999,-1.591284,-9.5213815,3
32565,-0.026322,-0.981092,-9.645813,4.34,15.33,-4.55,-102.742355,-144.724091,-194.591354,208,4.16,0.100502,0.880591,0.0502509999999993,-0.076573,-1.4213875,-9.6709385,3
32585,0.598227,-1.170132,-10.064571,5.88,16.66,-2.31,-103.292191,-145.442856,-195.976761,209,4.18,0.6245489999999999,-0.1890399999999999,-0.4187580000000004,0.2859524999999999,-1.075612,-9.855192,3
32605,0.547976,-1.323278,-10.26079,5.18,13.58,1.4,-100.550766,-144.289978,-193.547791,210,4.2,-0.0502509999999999,-0.153146,-0.1962189999999992,0.5731014999999999,-1.246705,-10.1626805,3
32625,0.614977,-1.263456,-9.858782,-0.35,13.79,2.52,-103.792725,-143.790726,-197.78334,211,4.22,0.0670009999999999,0.059822,0.4020080000000003,0.5814765,-1.293367,-10.059786,3
32645,0.258434,-1.385494,-9.4137,-3.85,14.63,1.19,-100.878754,-143.720673,-194.846527,212,4.24,-0.356543,-0.122038,0.4450819999999993,0.4367054999999998,-1.3244749999999998,-9.636241,3
32665,0.291935,-1.543426,-9.210303,-1.68,9.24,-0.07,-98.570709,-144.101395,-193.807999,213,4.26,0.033501,-0.1579319999999999,0.2033970000000007,0.2751844999999999,-1.46446,-9.3120015,3
32685,0.516868,-1.363958,-9.461558,4.13,4.34,-2.59,-100.146507,-143.322067,-195.341522,214,4.28,0.224933,0.1794679999999999,-0.2512550000000004,0.4044014999999998,-1.4536919999999998,-9.3359305,3
32705,0.540797,-1.435745,-9.552489,6.51,-2.31,-3.36,-99.833969,-145.214767,-194.137085,215,4.3,0.0239289999999999,-0.071787,-0.0909309999999994,0.5288324999999998,-1.3998515,-9.5070235,3
32725,0.670014,-1.387887,-9.930569,4.2,0.28,-1.19,-99.861794,-144.940842,-193.807968,216,4.32,0.129217,0.0478579999999999,-0.3780800000000006,0.6054054999999999,-1.411816,-9.741529,3
32745,0.6748,-1.608034,-10.421115,5.74,7.77,4.69,-99.287521,-143.17659,-193.218704,217,4.34,0.0047859999999999,-0.2201469999999998,-0.4905460000000001,0.672407,-1.4979605,-10.175842,3
32765,0.370901,-1.548212,-10.191396,7.63,5.95,9.59,-96.874184,-145.974411,-193.310272,218,4.36,-0.303899,0.059822,0.2297190000000011,0.5228504999999999,-1.5781229999999995,-10.3062555,3
32785,0.361329,-1.608034,-9.842031,4.62,1.68,1.33,-98.525795,-145.971634,-194.420197,219,4.38,-0.0095719999999999,-0.059822,0.3493649999999988,0.3661149999999999,-1.5781229999999995,-10.0167135,3
32805,0.483367,-1.608034,-9.937747,9.03,-6.58,-1.26,-96.918327,-147.583618,-195.417648,220,4.4,0.1220379999999999,0.0,-0.0957159999999994,0.4223479999999999,-1.608034,-9.889889,3
32825,0.476189,-1.725287,-9.798959,15.75,-8.26,-1.47,-96.934555,-145.427551,-192.792358,221,4.42,-0.007178,-0.117253,0.1387879999999999,0.4797779999999999,-1.6666605,-9.868353,3
32845,0.540797,-1.880826,-9.267733,11.9,-12.81,-1.26,-98.184532,-147.097702,-195.042648,222,4.44,0.064608,-0.1555390000000001,0.5312260000000002,0.5084929999999999,-1.8030565,-9.533346,3
32865,0.619763,-1.768359,-9.475916,8.54,-13.51,-1.47,-98.566109,-148.620392,-194.889465,223,4.46,0.0789659999999999,0.1124670000000001,-0.208183,0.5802799999999999,-1.8245925,-9.3718245,3
32885,0.500118,-1.72768,-9.499846,4.9,-12.25,-2.1,-100.049889,-149.701416,-195.631897,224,4.48,-0.119645,0.0406789999999999,-0.02393,0.5599405,-1.7480194999999998,-9.487881,3
32905,0.581477,-1.564962,-9.614705,-6.37,-3.64,-0.07,-101.824295,-145.965088,-196.499725,225,4.5,0.081359,0.1627180000000001,-0.1148590000000009,0.5407974999999999,-1.646321,-9.5572755,3
32925,0.631728,-1.665464,-9.310805,-11.48,7.63,1.89,-99.688469,-149.503113,-196.01973,226,4.52,0.0502509999999999,-0.100502,0.3039000000000005,0.6066024999999999,-1.6152129999999998,-9.462755,3
32945,0.545583,-1.541033,-10.294291,6.23,6.72,7.35,-97.529411,-148.796051,-194.787369,227,4.54,-0.0861449999999999,0.1244309999999999,-0.9834859999999992,0.5886555,-1.6032485,-9.802548,3
32964,0.32065,-1.660678,-9.564454,2.8,0.14,4.13,-97.529846,-149.075928,-195.95845,228,4.56,-0.224933,-0.119645,0.7298369999999998,0.4331164999999999,-1.6008555,-9.9293725,3
32984,0.490546,-1.816217,-9.803744,-4.97,-10.5,-0.49,-100.545273,-147.768448,-196.127045,229,4.58,0.169896,-0.1555389999999998,-0.2392900000000004,0.4055979999999999,-1.7384475,-9.684099,3
