Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
36260,0.313471,-1.653499,-10.105251,6.65,-10.85,0.49,-100.620659,-148.265091,-194.532349,393,7.86,-0.2177549999999999,0.402009,0.5001179999999987,0.4223485,-1.8545035,-10.35531,1
36280,0.366115,-1.80186,-10.445044,4.48,-3.78,0.77,-101.859474,-148.332977,-195.657562,394,7.88,0.052644,-0.1483609999999999,-0.3397929999999984,0.339793,-1.7276794999999998,-10.2751475,1
36300,0.380472,-1.866468,-11.146166,-9.59,3.01,-1.61,-101.343925,-148.941574,-194.927795,395,7.9,0.0143569999999999,-0.064608,-0.7011219999999998,0.3732935,-1.834164,-10.795604999999998,1
36320,0.45226,-1.677429,-10.119608,-8.96,3.92,0.98,-100.871201,-149.838974,-196.63208,396,7.92,0.071788,0.1890389999999999,1.0265579999999996,0.416366,-1.7719484999999997,-10.632887,1
36340,0.325435,-1.476424,-9.435237,-2.31,0.77,-0.91,-102.087669,-146.702316,-195.507156,397,7.94,-0.126825,0.2010050000000001,0.6843709999999987,0.3888475,-1.5769265,-9.7774225,1
36360,0.3374,-1.55539,-9.588383,3.92,-1.75,-1.82,-102.50222,-148.231949,-196.336288,398,7.96,0.011965,-0.078966,-0.1531459999999995,0.3314175,-1.515907,-9.51181,1
36380,0.471403,-1.675036,-9.621883,3.78,-1.33,-2.1,-101.774239,-147.554474,-195.800507,399,7.98,0.134003,-0.1196459999999999,-0.0335,0.4044014999999999,-1.6152129999999998,-9.605133,1
36400,0.433116,-1.603248,-9.593168,0.84,0.0,-2.17,-99.434975,-149.528534,-194.624069,400,8.0,-0.038287,0.0717879999999999,0.028715,0.4522595,-1.6391419999999997,-9.6075255,1
36420,0.418759,-1.67025,-9.56924,-1.12,-1.54,-1.75,-100.727371,-151.6884,-194.297348,401,8.02,-0.014357,-0.067002,0.0239279999999997,0.4259374999999999,-1.6367489999999998,-9.581204,1
36440,0.442688,-1.665464,-9.655384,-2.38,-2.38,-1.47,-101.590958,-147.31488,-195.338699,402,8.04,0.023929,0.0047859999999999,-0.0861439999999991,0.4307235,-1.6678569999999997,-9.612312,1
36460,0.418759,-1.663071,-9.607526,-3.08,-2.52,-1.54,-100.350075,-149.886826,-193.419785,403,8.06,-0.023929,0.002393,0.0478579999999997,0.4307235,-1.6642674999999998,-9.631455,1
36480,0.437902,-1.651107,-9.662563,-4.97,-1.96,-1.75,-100.20787,-148.335754,-194.547638,404,8.08,0.019143,0.0119639999999998,-0.0550370000000004,0.4283305,-1.6570889999999998,-9.6350445,1
36500,0.421152,-1.648714,-9.657777,-4.62,-1.26,-1.75,-100.967064,-147.419891,-195.221313,405,8.1,-0.0167499999999999,0.002393,0.004786000000001,0.429527,-1.6499104999999998,-9.66017,1
36520,0.454653,-1.619999,-9.559668,-3.43,0.0,-1.61,-102.217041,-149.090042,-197.471603,406,8.12,0.0335009999999999,0.028715,0.0981089999999991,0.4379025,-1.6343564999999998,-9.6087225,1
36540,0.461831,-1.622392,-9.698457,-1.26,0.63,-1.68,-98.707001,-148.851059,-194.088287,407,8.14,0.007178,-0.002393,-0.1387889999999991,0.458242,-1.6211954999999998,-9.6290625,1
36560,0.464224,-1.631963,-9.626669,-1.05,1.26,-2.03,-100.382156,-148.853241,-195.899872,408,8.16,0.002393,-0.0095709999999999,0.0717879999999997,0.4630275,-1.6271774999999995,-9.662563,1
36580,0.48576,-1.67025,-9.624276,-0.56,0.56,-3.85,-103.153053,-146.812485,-197.622345,409,8.18,0.021536,-0.0382869999999999,0.0023929999999996,0.474992,-1.6511064999999998,-9.6254725,1
36600,0.442688,-1.758787,-9.710421,-0.7,-0.7,-3.78,-101.143875,-146.058197,-194.69838,410,8.2,-0.043072,-0.088537,-0.0861450000000001,0.464224,-1.7145184999999998,-9.6673485,1
