Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
28410,0.24647,-1.007414,-9.688885,-2.52,-4.27,-1.54,-102.370987,-139.723923,-192.305634,0,0.0,,,,,,
28430,0.253648,-1.005021,-9.684099,-2.38,-4.2,-1.47,-101.682114,-144.894806,-193.787613,1,0.02,0.0071779999999999,0.002393,0.004786000000001,0.250059,-1.0062175,-9.686492
28450,0.277577,-1.026558,-9.698457,-2.45,-4.27,-1.54,-100.423569,-143.78241,-193.598846,2,0.04,0.023929,-0.0215370000000001,-0.0143579999999996,0.2656125,-1.0157895,-9.691278
28470,0.26322,-1.048094,-9.724778,-2.52,-4.2,-1.47,-99.989761,-141.968948,-191.037323,3,0.06,-0.014357,-0.021536,-0.0263210000000011,0.2703985,-1.0373260000000002,-9.7116175
28490,0.24647,-1.021772,-9.722385,-2.52,-4.34,-1.47,-102.564117,-140.245361,-194.219193,4,0.08,-0.01675,0.0263220000000001,0.0023930000000014,0.254845,-1.034933,-9.7235815
28510,0.294328,-1.031343,-9.69367,-2.59,-4.27,-1.61,-101.567734,-143.069809,-194.586349,5,0.1,0.0478579999999999,-0.0095709999999999,0.028715,0.270399,-1.0265575,-9.7080275
28530,0.270399,-1.0122,-9.736743,-2.59,-4.2,-1.47,-99.663956,-144.418411,-191.754074,6,0.12,-0.0239289999999999,0.0191429999999999,-0.0430730000000014,0.2823635,-1.0217714999999998,-9.7152065
28550,0.296721,-1.02895,-9.696064,-2.52,-4.27,-1.47,-102.805687,-142.577942,-193.369385,7,0.14,0.026322,-0.01675,0.0406790000000008,0.28356,-1.020575,-9.7164035
28570,0.301506,-1.043308,-9.722385,-2.59,-4.13,-1.4,-100.96991,-141.300598,-193.295425,8,0.16,0.0047849999999999,-0.0143579999999998,-0.0263209999999993,0.2991135,-1.036129,-9.7092245
28590,0.268006,-1.033736,-9.69367,-2.45,-4.13,-1.47,-100.710503,-144.524597,-193.307938,9,0.18,-0.0334999999999999,0.0095719999999999,0.028715,0.284756,-1.038522,-9.7080275
28610,0.27997,-1.031343,-9.722385,-2.45,-4.2,-1.54,-101.64048,-140.925613,-193.645035,10,0.2,0.0119639999999999,0.002393,-0.028715,0.273988,-1.0325395,-9.7080275
28630,0.272792,-1.057665,-9.691278,-2.59,-4.41,-1.61,-102.242584,-142.415955,-193.905182,11,0.22,-0.007178,-0.0263220000000001,0.0311069999999986,0.276381,-1.044504,-9.7068315
28650,0.277577,-1.038522,-9.686492,-2.52,-4.27,-1.47,-102.967056,-139.892838,-192.752136,12,0.24,0.004785,0.0191430000000001,0.004786000000001,0.2751845,-1.0480935,-9.688885
28670,0.287149,-1.031343,-9.696064,-2.45,-4.13,-1.47,-101.824646,-142.20575,-192.609039,13,0.26,0.0095719999999999,0.007179,-0.0095720000000003,0.282363,-1.0349325,-9.691278
28690,0.291935,-1.005021,-9.70085,-2.52,-4.27,-1.47,-101.894974,-146.460754,-194.764709,14,0.28,0.004786,0.0263219999999999,-0.004786000000001,0.2895419999999999,-1.018182,-9.698457
28710,0.306292,-1.060058,-9.705635,-2.52,-4.27,-1.61,-102.538925,-143.160126,-193.894928,15,0.3,0.014357,-0.055037,-0.0047849999999982,0.2991135,-1.0325395,-9.7032425
28730,0.244077,-1.007414,-9.681706,-2.45,-4.41,-1.47,-100.670174,-141.875839,-192.838669,16,0.32,-0.062215,0.0526439999999999,0.0239289999999989,0.2751845,-1.033736,-9.6936705
28750,0.27997,-1.009807,-9.739136,-2.59,-4.34,-1.54,-103.312248,-142.247238,-194.989594,17,0.34,0.035893,-0.0023929999999998,-0.05743,0.2620234999999999,-1.0086105,-9.710421
28770,0.251255,-1.05288,-9.736743,-2.52,-4.27,-1.54,-99.380417,-142.356796,-192.512009,18,0.36,-0.0287149999999999,-0.0430730000000001,0.0023929999999996,0.2656125,-1.0313435,-9.7379395
