Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
15582,-8.083243,-1.938256,4.651814,-13.3,12.67,8.12,80.031761,-130.179138,67.368134,26,0.52,0.2345050000000004,-0.0047859999999999,-0.0119639999999998,-8.200495499999999,-1.935863,4.657795999999999
15602,-8.114351,-1.928684,4.59199,-6.23,11.41,8.61,79.677116,-133.016296,68.689995,27,0.54,-0.0311079999999996,0.0095719999999999,-0.0598239999999998,-8.098797,-1.93347,4.621902
15622,-8.23639,-1.9909,4.766673,0.07,8.19,7.98,77.246162,-133.422028,66.671753,28,0.56,-0.1220390000000009,-0.0622159999999998,0.1746829999999999,-8.1753705,-1.959792,4.6793315
15642,-8.150245,-2.031579,4.848032,-0.07,3.71,6.79,78.978729,-132.367401,68.66951,29,0.58,0.0861450000000001,-0.0406789999999999,0.0813589999999999,-8.1933175,-2.0112394999999994,4.8073525
15662,-8.133494,-2.014829,4.711636,-3.85,2.66,7.56,76.187668,-131.651031,66.71241,30,0.6,0.0167509999999992,0.0167499999999996,-0.1363959999999995,-8.1418695,-2.023204,4.779834
15682,-8.652756,-1.988507,4.840853,-4.97,5.67,9.52,77.558273,-135.594589,66.705093,31,0.62,-0.5192619999999994,0.0263220000000001,0.1292169999999997,-8.393125000000001,-2.001668,4.776244500000001
15702,-8.688649,-1.995685,4.879139,-1.26,3.92,7.84,75.696098,-130.757614,67.855377,32,0.64,-0.0358929999999997,-0.0071779999999999,0.0382860000000002,-8.6707025,-1.992096,4.859996000000001
15722,-8.547467,-2.0244,4.934176,4.62,1.82,6.51,77.891968,-130.602356,67.868187,33,0.66,0.1411820000000005,-0.028715,0.0550369999999995,-8.618058,-2.0100424999999995,4.9066575
15742,-8.588147,-2.057901,4.926998,4.62,-0.07,6.3,79.939171,-133.599472,68.024117,34,0.68,-0.04068,-0.0335010000000002,-0.0071779999999996,-8.567806999999998,-2.0411505,4.930587
15762,-8.674292,-1.993292,4.869568,5.6,-1.75,5.18,77.642731,-131.336624,69.281746,35,0.7,-0.0861450000000001,0.0646090000000001,-0.05743,-8.6312195,-2.0255965,4.898283
15782,-8.604897,-1.943041,4.85521,7.35,-0.14,4.2,75.745293,-132.906723,66.21241,36,0.72,0.0693950000000001,0.050251,-0.0143580000000005,-8.6395945,-1.9681665,4.862389
15802,-8.370393,-1.928684,4.809745,8.4,-0.28,3.64,76.985855,-131.238571,68.182037,37,0.74,0.2345039999999993,0.0143569999999999,-0.0454649999999992,-8.487645,-1.9358625,4.8324775
15822,-8.324927,-1.85929,4.658992,7.56,3.5,5.95,76.98378,-128.598709,67.388336,38,0.76,0.0454659999999993,0.0693939999999999,-0.1507530000000008,-8.347660000000001,-1.893987,4.7343685
15842,-8.430215,-1.715715,4.546525,13.09,5.53,7.77,78.178429,-130.620834,70.246155,39,0.78,-0.1052879999999998,0.143575,-0.1124669999999996,-8.377571,-1.7875024999999996,4.6027585
15862,-8.504395,-1.672643,4.635063,18.620001,8.19,9.03,79.009941,-133.96077,68.807411,40,0.8,-0.0741800000000001,0.043072,0.0885379999999997,-8.467305,-1.6941789999999997,4.590794
15882,-8.423037,-1.655892,4.893497,18.48,8.12,8.89,77.58532,-132.389069,69.095566,41,0.82,0.0813579999999998,0.0167510000000001,0.2584340000000003,-8.463716000000002,-1.6642674999999996,4.764279999999999
15902,-8.506788,-1.773145,4.991606,19.530001,-0.28,5.11,75.111191,-129.324249,68.533943,42,0.84,-0.0837509999999994,-0.117253,0.098109,-8.4649125,-1.7145184999999996,4.9425515
15922,-8.815474,-1.562569,4.725994,14.84,2.1,7.49,76.025406,-130.006485,68.827438,43,0.86,-0.3086859999999998,0.2105759999999998,-0.2656119999999999,-8.661131000000001,-1.6678569999999997,4.8588000000000005
15942,-8.619255,-1.48121,4.740351,12.74,3.85,6.72,77.465477,-130.254807,68.633583,44,0.88,0.1962189999999992,0.0813590000000001,0.0143570000000003,-8.7173645,-1.5218894999999997,4.7331725
15962,-8.609683,-1.49796,4.642241,11.2,-1.33,3.22,75.332932,-132.556198,67.398796,45,0.9,0.0095720000000003,-0.01675,-0.0981100000000001,-8.614469,-1.4895849999999995,4.691296
15982,-8.504395,-1.476424,4.771459,12.04,-3.22,2.31,77.366539,-130.756409,69.526634,46,0.92,0.1052879999999998,0.021536,0.1292179999999998,-8.557039,-1.4871919999999994,4.70685
16002,-8.588147,-1.531461,4.857604,14.49,-0.56,2.87,76.212967,-130.045792,68.258469,47,0.94,-0.0837519999999987,-0.055037,0.0861450000000001,-8.546271,-1.5039424999999995,4.8145315
